condition,Greedy,PN,Lead,RMPC,PPO,PPO-Kalman,LR-PPO
Nominal,79.12,75.92,86.76,82.04,87.42000000000002,83.42666666666666,89.43333333333334
Strong evasion,78.7,76.3,87.7,80.9,84.83333333333333,82.66666666666667,89.60000000000001
Restrictive dynamics,61.199999999999996,58.9,65.60000000000001,67.2,56.10000000000001,59.0,67.63333333333334
High measurement noise,70.39999999999999,64.1,73.0,52.7,83.56666666666666,81.46666666666667,77.83333333333333
Hard mobility,52.800000000000004,32.1,49.7,69.3,40.900000000000006,49.00000000000001,57.99999999999999
Short detection,58.099999999999994,55.60000000000001,65.2,58.9,59.53333333333334,56.56666666666666,66.0
