family,n_roots,per_root_rates,family_mean_success_rate,root_sd,hierarchical_ci_low,hierarchical_ci_high
Greedy,1,[0.528],0.528,0.0,0.4970108021953935,0.5587748993294154
PN,1,[0.321],0.321,0.0,0.2927964857623614,0.3505734937754673
Lead,1,[0.497],0.497,0.0,0.4660816352651897,0.5279413252857236
RMPC,1,[0.693],0.693,0.0,0.6637186226479856,0.72080424857659
PPO,3,"[0.441, 0.405, 0.381]",0.40900000000000003,0.030199337741082997,0.372,0.4466749999999999
PPO-Kalman,3,"[0.456, 0.652, 0.362]",0.49000000000000005,0.14795945390545345,0.367,0.6460249999999996
LR-PPO,3,"[0.584, 0.594, 0.562]",0.58,0.016370705543744854,0.5506666666666666,0.6096666666666667
