detection_radius,lead_success_pct,lead_ci_low_pct,lead_ci_high_pct,ppo_success_pct,ppo_ci_low_pct,ppo_ci_high_pct,ppo_kalman_success_pct,ppo_kalman_ci_low_pct,ppo_kalman_ci_high_pct,lr_ppo_success_pct,lr_ppo_ci_low_pct,lr_ppo_ci_high_pct,lr_minus_lead_pp,lr_minus_lead_ci_low_pp,lr_minus_lead_ci_high_pp,lr_minus_ppo_pp,lr_minus_ppo_ci_low_pp,lr_minus_ppo_ci_high_pp,mean_detection_time_s,median_detection_time_s,p95_detection_time_s
5.0,68.7,65.76,71.5,62.27,57.37,66.77,59.73,56.77,62.67,69.63,66.8,72.57,0.93,-1.07,2.9,7.37,3.2,12.03,127.19,74.75,421.325
10.0,78.3,75.64,80.74,80.47,75.9,84.4,77.27,73.1,80.9,82.47,80.1,84.77,4.17,2.1,6.3,2.0,-2.0,6.67,38.12,15.0,150.575
15.0,87.4,85.2,89.31,86.6,82.6,89.83,83.63,77.4,88.17,89.53,87.57,91.47,2.13,-0.1,4.37,2.93,-0.67,7.23,9.258,6.0,28.5
20.0,89.8,87.77,91.53,89.37,86.03,92.5,85.33,81.1,88.73,91.77,90.2,93.3,1.97,-0.17,4.17,2.4,-1.0,5.93,5.295,5.0,8.5
25.0,86.3,84.03,88.29,89.6,85.03,93.2,86.03,82.1,89.4,90.77,89.17,92.3,4.47,2.37,6.6,1.17,-2.6,5.77,4.455,4.0,7.0
30.0,89.2,87.12,90.98,88.07,83.17,92.3,84.57,80.73,88.0,90.4,88.67,92.07,1.2,-1.0,3.43,2.33,-2.13,7.5,3.725,3.5,6.0
