environment_seed,outcome,success,soldier_caught,unsafe_intercept,timeout,total_steps,detection_step,detection_time_seconds,post_detection_steps,intercept_step,intercept_time_seconds,min_enemy_soldier_dist,physical_limit_violations,mean_tracking_error,final_tracking_error,tracking_rmse,n_tracking_samples,optimizer_fallback_count,measurement_fallback_count,lead_init_count,pursuit_init_count,n_policy_calls,n_post_detection_decisions,instance_id,instance_name,family,training_seed
77880,intercepted,1,0,0,0,132,9,4.5,123,132.0,66.0,7.2965168952941895,0,1.0511636009379741,0.9079994559288025,1.147238461161501,124,0,0,122,1,132,123,rmpc,rmpc,RMPC,
77881,unsafe_intercept,0,0,1,0,10,8,4.0,2,,,2.014786958694458,0,0.9643287062644958,0.8703758716583252,0.9669348792206414,3,0,0,1,1,10,2,rmpc,rmpc,RMPC,
77882,intercepted,1,0,0,0,100,11,5.5,89,100.0,50.0,3.7671971321105957,0,1.0670436726676094,1.64459228515625,1.168751324878586,90,0,0,88,1,100,89,rmpc,rmpc,RMPC,
77883,intercepted,1,0,0,0,97,10,5.0,87,97.0,48.5,7.581139087677002,0,1.0832193427803842,1.259657382965088,1.1799498690320442,88,0,0,86,1,97,87,rmpc,rmpc,RMPC,
77884,intercepted,1,0,0,0,21,19,9.5,2,21.0,10.5,4.030630111694336,0,1.7123128573099773,1.8101173639297485,1.7239366640410834,3,0,0,1,1,21,2,rmpc,rmpc,RMPC,
77885,intercepted,1,0,0,0,101,74,37.0,27,101.0,50.5,8.101985931396484,0,1.1375685116010053,1.1007344722747803,1.2555754369472676,28,0,0,26,1,101,27,rmpc,rmpc,RMPC,
77886,intercepted,1,0,0,0,41,10,5.0,31,41.0,20.5,5.268184185028076,0,1.1174014927819371,1.086012601852417,1.235212854162538,32,0,0,30,1,41,31,rmpc,rmpc,RMPC,
77887,intercepted,1,0,0,0,239,10,5.0,229,239.0,119.5,10.8323974609375,0,1.195844034526659,1.4205503463745117,1.2857650021651557,230,0,0,228,1,239,229,rmpc,rmpc,RMPC,
77888,intercepted,1,0,0,0,460,12,6.0,448,460.0,230.0,7.506282329559326,0,1.0628604151822942,0.9317570924758911,1.167081316248107,449,0,0,447,1,460,448,rmpc,rmpc,RMPC,
77889,soldier_caught,0,1,0,0,104,9,4.5,95,,,1.9587032794952393,0,1.1422528763456892,1.6242427825927734,1.2417739603538833,96,0,0,94,1,104,95,rmpc,rmpc,RMPC,
