candidate_id,environment_seed,outcome,success,soldier_caught,unsafe_intercept,timeout,total_steps,detection_step,detection_time_seconds,post_detection_steps,intercept_step,intercept_time_seconds,min_enemy_soldier_dist,physical_limit_violations,mean_tracking_error,final_tracking_error,tracking_rmse,n_tracking_samples,optimizer_fallback_count,measurement_fallback_count,lead_init_count,pursuit_init_count,n_policy_calls,n_post_detection_decisions
C1_FAST,71228,soldier_caught,0,1,0,0,795,12,6.0,783,,,1.3827859163284302,0,1.1348311231300539,0.8977457284927368,1.221851847241494,784,0,0,782,1,795,783
C1_FAST,71229,intercepted,1,0,0,0,256,8,4.0,248,256.0,128.0,4.21731424331665,0,1.1354395485965603,1.2822651863098145,1.2470845690275445,249,0,0,247,1,256,248
C1_FAST,71230,intercepted,1,0,0,0,53,12,6.0,41,53.0,26.5,6.730534553527832,0,1.0579292199441366,1.5274133682250977,1.1308806784541374,42,0,0,40,1,53,41
C1_FAST,71231,intercepted,1,0,0,0,165,13,6.5,152,165.0,82.5,3.935800790786743,0,1.1149333173932592,0.9279289841651917,1.2043621773062028,153,0,0,151,1,165,152
C1_FAST,71232,soldier_caught,0,1,0,0,14,12,6.0,2,,,1.882469892501831,0,1.0437308152516682,0.849185585975647,1.0553989530034749,3,0,0,1,1,14,2
C1_FAST,71233,intercepted,1,0,0,0,726,13,6.5,713,726.0,363.0,6.9453654289245605,0,1.1382467407806247,1.5478662252426147,1.236749580875352,714,0,0,712,1,726,713
C1_FAST,71234,intercepted,1,0,0,0,356,10,5.0,346,356.0,178.0,4.769407749176025,0,1.1062080147287001,1.0804212093353271,1.201238927829739,347,0,0,345,1,356,346
C1_FAST,71235,intercepted,1,0,0,0,86,9,4.5,77,86.0,43.0,3.973740339279175,0,1.103816141302769,1.192966341972351,1.2066732601306462,78,0,0,76,1,86,77
C1_FAST,71236,intercepted,1,0,0,0,92,10,5.0,82,92.0,46.0,3.274066686630249,0,1.095578469784863,1.2070486545562744,1.168885299239372,83,0,0,81,1,92,82
C1_FAST,71237,intercepted,1,0,0,0,21,9,4.5,12,21.0,10.5,8.079029083251953,0,1.0923837835972126,0.5081416368484497,1.1732448856484894,13,0,0,11,1,21,12
C1_FAST,71238,soldier_caught,0,1,0,0,282,11,5.5,271,,,1.9940216541290283,0,1.0877545572379057,0.6519681215286255,1.1857294176350168,272,0,0,270,1,282,271
C1_FAST,71239,soldier_caught,0,1,0,0,317,11,5.5,306,,,1.8791519403457642,0,1.1615932873095285,2.067681074142456,1.2608182330791973,307,0,0,304,2,317,306
C1_FAST,71240,intercepted,1,0,0,0,171,9,4.5,162,171.0,85.5,2.279219150543213,0,1.1284576933259614,0.9297326803207397,1.217311171373755,163,0,0,161,1,171,162
C1_FAST,71241,intercepted,1,0,0,0,25,16,8.0,9,25.0,12.5,14.923399925231934,0,1.200508224964142,1.2406052350997925,1.363659931457311,10,0,0,8,1,25,9
C1_FAST,71242,soldier_caught,0,1,0,0,697,11,5.5,686,,,1.8461086750030518,0,1.1500140544585613,1.1117579936981201,1.2446119853200357,687,0,0,683,3,697,686
C1_FAST,71243,intercepted,1,0,0,0,99,16,8.0,83,99.0,49.5,2.260455846786499,0,1.1543905862740107,0.9747514724731445,1.2277665835588445,84,0,0,82,1,99,83
C1_FAST,71244,intercepted,1,0,0,0,199,15,7.5,184,199.0,99.5,3.655059337615967,0,1.1358097347858789,1.1678210496902466,1.2354415223268027,185,0,0,183,1,199,184
C1_FAST,71245,intercepted,1,0,0,0,502,16,8.0,486,502.0,251.0,3.6449131965637207,0,1.1281012067498613,0.9032717943191528,1.225141147783992,487,0,0,484,2,502,486
C1_FAST,71246,intercepted,1,0,0,0,11,9,4.5,2,11.0,5.5,5.1200714111328125,0,1.0079530874888103,1.26120126247406,1.0326239499779177,3,0,0,1,1,11,2
C1_FAST,71247,intercepted,1,0,0,0,30,9,4.5,21,30.0,15.0,6.800461769104004,0,0.9298715740442276,0.4732389748096466,1.0144389565836924,22,0,0,20,1,30,21
C1_FAST,71248,intercepted,1,0,0,0,249,101,50.5,148,249.0,124.5,5.995289325714111,0,1.2142495804985098,1.156924843788147,1.3081450935162156,149,0,0,147,1,249,148
C1_FAST,71249,soldier_caught,0,1,0,0,36,8,4.0,28,,,1.856008768081665,0,1.227535597723106,0.7952427268028259,1.3162122975602946,29,0,0,27,1,36,28
C1_FAST,71250,intercepted,1,0,0,0,774,42,21.0,732,774.0,387.0,2.2980010509490967,0,1.1318626419055349,0.7235106825828552,1.2313690508255795,733,0,0,731,1,774,732
C1_FAST,71251,intercepted,1,0,0,0,48,15,7.5,33,48.0,24.0,10.757979393005371,0,1.0617198356810738,1.1349029541015625,1.1702866894112653,34,0,0,32,1,48,33
C1_FAST,71252,intercepted,1,0,0,0,26,11,5.5,15,26.0,13.0,4.129690647125244,0,1.044439285993576,1.1137038469314575,1.1195478453207626,16,0,0,14,1,26,15
C1_FAST,71253,soldier_caught,0,1,0,0,165,9,4.5,156,,,1.4346272945404053,0,1.0948866582030703,1.2603650093078613,1.192866761014346,157,0,0,155,1,165,156
C1_FAST,71254,soldier_caught,0,1,0,0,58,9,4.5,49,,,1.0116230249404907,0,1.0266235542297364,0.7238429188728333,1.127411273207972,50,0,0,48,1,58,49
C1_FAST,71255,intercepted,1,0,0,0,109,91,45.5,18,109.0,54.5,9.53597640991211,0,1.0758993092336153,1.6023567914962769,1.1737527623519013,19,0,0,17,1,109,18
C1_FAST,71256,intercepted,1,0,0,0,18,15,7.5,3,18.0,9.0,6.160665988922119,0,1.3556953072547913,1.0833061933517456,1.3770513967054565,4,0,0,2,1,18,3
C1_FAST,71257,intercepted,1,0,0,0,322,16,8.0,306,322.0,161.0,9.783308982849121,0,1.1301943600080688,0.887862503528595,1.2150223151972335,307,0,0,305,1,322,306
C1_FAST,71258,intercepted,1,0,0,0,673,12,6.0,661,673.0,336.5,3.738020181655884,0,1.1201714948720083,1.049937129020691,1.20727065590161,662,0,0,660,1,673,661
C1_FAST,71259,intercepted,1,0,0,0,321,12,6.0,309,321.0,160.5,5.759646892547607,0,1.1491714171824916,0.6912550926208496,1.2435888144466483,310,0,0,308,1,321,309
C1_FAST,71260,intercepted,1,0,0,0,276,7,3.5,269,276.0,138.0,4.78720760345459,0,1.0911680424654926,1.2797154188156128,1.1823738700602686,270,0,0,268,1,276,269
C1_FAST,71261,soldier_caught,0,1,0,0,37,11,5.5,26,,,1.3883888721466064,0,1.129678824433574,1.6491531133651733,1.220638589420908,27,0,0,25,1,37,26
C1_FAST,71262,intercepted,1,0,0,0,23,9,4.5,14,23.0,11.5,7.340066909790039,0,0.9919930378595988,0.8933730721473694,1.1476437716641203,15,0,0,13,1,23,14
C1_FAST,71263,intercepted,1,0,0,0,142,10,5.0,132,142.0,71.0,9.835740089416504,0,1.0977625026738733,1.027539610862732,1.185867277693861,133,0,0,130,2,142,132
C1_FAST,71264,intercepted,1,0,0,0,56,8,4.0,48,56.0,28.0,2.916048049926758,0,1.1962876295556828,1.224236011505127,1.2928860229644241,49,0,0,47,1,56,48
C1_FAST,71265,soldier_caught,0,1,0,0,1450,8,4.0,1442,,,1.4990179538726807,0,1.151561439197384,1.6101595163345337,1.245911733600836,1443,0,0,1441,1,1450,1442
C1_FAST,71266,intercepted,1,0,0,0,11,9,4.5,2,11.0,5.5,4.208222389221191,0,0.7918355613946915,0.17374514043331146,0.9265277479867542,3,0,0,1,1,11,2
C1_FAST,71267,intercepted,1,0,0,0,186,10,5.0,176,186.0,93.0,7.266523838043213,0,1.1049391887450621,1.581899881362915,1.199593822647453,177,0,0,175,1,186,176
C1_FAST,71268,intercepted,1,0,0,0,170,8,4.0,162,170.0,85.0,6.632505893707275,0,1.1218840963452872,1.0085703134536743,1.215310280741536,163,0,0,161,1,170,162
C1_FAST,71269,intercepted,1,0,0,0,373,9,4.5,364,373.0,186.5,3.086231231689453,0,1.0880999109108154,0.7173364758491516,1.1807745512726802,365,0,0,363,1,373,364
C1_FAST,71270,intercepted,1,0,0,0,92,10,5.0,82,92.0,46.0,4.074627876281738,0,1.045379761471806,1.2454103231430054,1.1306351374175536,83,0,0,81,1,92,82
C1_FAST,71271,intercepted,1,0,0,0,10,8,4.0,2,10.0,5.0,3.8949198722839355,0,1.193495253721873,2.3138976097106934,1.4333898300466656,3,0,0,1,1,10,2
C1_FAST,71272,soldier_caught,0,1,0,0,285,9,4.5,276,,,1.9232122898101807,0,1.1595127776749297,1.0072405338287354,1.2381000831261253,277,0,0,275,1,285,276
C1_FAST,71273,intercepted,1,0,0,0,423,31,15.5,392,423.0,211.5,2.2029449939727783,0,1.126878966736126,1.6510015726089478,1.2169089147142487,393,0,0,391,1,423,392
