environment_seed,outcome,success,soldier_caught,unsafe_intercept,timeout,total_steps,detection_step,detection_time_seconds,post_detection_steps,intercept_step,intercept_time_seconds,min_enemy_soldier_dist,physical_limit_violations,mean_tracking_error,final_tracking_error,tracking_rmse,n_tracking_samples,optimizer_fallback_count,measurement_fallback_count,lead_init_count,pursuit_init_count,n_policy_calls,n_post_detection_decisions,instance_id,instance_name,family,training_seed
77821,soldier_caught,0,1,0,0,81,20,10.0,61,,,1.5459576845169067,0,1.0721123630721723,0.9990386366844177,1.1714853751268075,62,0,0,60,1,81,61,rmpc,rmpc,RMPC,
77822,intercepted,1,0,0,0,108,12,6.0,96,108.0,54.0,3.0847761631011963,0,1.1166726696429794,0.8942638039588928,1.2126583499477392,97,0,0,95,1,108,96,rmpc,rmpc,RMPC,
77823,intercepted,1,0,0,0,15,13,6.5,2,15.0,7.5,4.606710433959961,0,0.5229377349217733,0.4581732451915741,0.5293819279063334,3,0,0,1,1,15,2,rmpc,rmpc,RMPC,
77824,intercepted,1,0,0,0,123,16,8.0,107,123.0,61.5,2.18788480758667,0,1.1907571961206418,1.6971584558486938,1.282441218001475,108,0,0,106,1,123,107,rmpc,rmpc,RMPC,
77825,soldier_caught,0,1,0,0,50,16,8.0,34,,,1.7725069522857666,0,1.1335440916674477,1.5168367624282837,1.2331284880647333,35,0,0,33,1,50,34,rmpc,rmpc,RMPC,
77826,soldier_caught,0,1,0,0,118,19,9.5,99,,,1.5077975988388062,0,1.1444682580232621,0.42310577630996704,1.2307014196134822,100,0,0,98,1,118,99,rmpc,rmpc,RMPC,
77827,soldier_caught,0,1,0,0,95,14,7.0,81,,,1.1143333911895752,0,1.1208259179824736,1.5742907524108887,1.2107358068873935,82,0,0,80,1,95,81,rmpc,rmpc,RMPC,
77828,intercepted,1,0,0,0,159,14,7.0,145,159.0,79.5,2.3799262046813965,0,1.1297645236123097,1.5201598405838013,1.2254641333860397,146,0,0,144,1,159,145,rmpc,rmpc,RMPC,
77829,intercepted,1,0,0,0,24,21,10.5,3,24.0,12.0,10.133646965026855,0,0.9121866226196289,0.7141645550727844,0.9862636756494688,4,0,0,2,1,24,3,rmpc,rmpc,RMPC,
77830,intercepted,1,0,0,0,237,20,10.0,217,237.0,118.5,2.5070345401763916,0,1.1520849620803781,0.4356696605682373,1.2397910791449116,218,0,0,216,1,237,217,rmpc,rmpc,RMPC,
77831,intercepted,1,0,0,0,82,16,8.0,66,82.0,41.0,2.8058934211730957,0,1.0894228464631892,0.4845486283302307,1.1651964998598103,67,0,0,65,1,82,66,rmpc,rmpc,RMPC,
77832,intercepted,1,0,0,0,26,11,5.5,15,26.0,13.0,2.984809398651123,0,1.1917050704360008,1.2572075128555298,1.236942736568798,16,0,0,14,1,26,15,rmpc,rmpc,RMPC,
77833,intercepted,1,0,0,0,18,15,7.5,3,18.0,9.0,3.8261799812316895,0,0.8629003018140793,0.808064877986908,0.8853439377385892,4,0,0,2,1,18,3,rmpc,rmpc,RMPC,
77834,intercepted,1,0,0,0,59,18,9.0,41,59.0,29.5,3.4089889526367188,0,1.2046491014105933,1.105459213256836,1.3230895006362915,42,0,0,40,1,59,41,rmpc,rmpc,RMPC,
77835,intercepted,1,0,0,0,15,13,6.5,2,15.0,7.5,5.838047981262207,0,1.2011146545410156,1.6232038736343384,1.2557458766813432,3,0,0,1,1,15,2,rmpc,rmpc,RMPC,
77836,soldier_caught,0,1,0,0,97,12,6.0,85,,,1.8552027940750122,0,1.0699744011427081,1.214772343635559,1.1622343241550932,86,0,0,84,1,97,85,rmpc,rmpc,RMPC,
77837,intercepted,1,0,0,0,148,16,8.0,132,148.0,74.0,2.7797024250030518,0,1.2257377662156757,0.7275599837303162,1.3361453685319358,133,0,0,131,1,148,132,rmpc,rmpc,RMPC,
77838,intercepted,1,0,0,0,16,14,7.0,2,16.0,8.0,5.0831074714660645,0,1.4638958374659221,1.4920202493667603,1.4640309228985282,3,0,0,1,1,16,2,rmpc,rmpc,RMPC,
77839,soldier_caught,0,1,0,0,79,15,7.5,64,,,0.9390777945518494,0,1.148163379384921,0.39989253878593445,1.2288711678081445,65,0,0,63,1,79,64,rmpc,rmpc,RMPC,
77840,soldier_caught,0,1,0,0,62,16,8.0,46,,,1.6547435522079468,0,1.0508098123555487,1.1517887115478516,1.1359115030278621,47,0,0,45,1,62,46,rmpc,rmpc,RMPC,
77841,intercepted,1,0,0,0,68,20,10.0,48,68.0,34.0,4.69812536239624,0,1.2288960881379185,1.6006667613983154,1.3323453035449861,49,0,0,47,1,68,48,rmpc,rmpc,RMPC,
77842,intercepted,1,0,0,0,80,13,6.5,67,80.0,40.0,3.437788724899292,0,1.0174248823348213,1.4339816570281982,1.09737787478896,68,0,0,66,1,80,67,rmpc,rmpc,RMPC,
77843,intercepted,1,0,0,0,26,23,11.5,3,26.0,13.0,9.026694297790527,0,1.6499774158000946,2.001559019088745,1.708303388240265,4,0,0,2,1,26,3,rmpc,rmpc,RMPC,
