comparison,difference_pp,ci_low_pp,ci_high_pp,statistical_resolution
LR-PPO - Lead,2.6733333333333276,1.766666666666672,3.5666666666666624,resolved positive
LR-PPO - RMPC,7.393333333333329,6.306666666666672,8.486666666666665,resolved positive
LR-PPO - PPO,2.0133333333333225,-0.2733333333333257,5.113500000000001,unresolved
RMPC - Lead,-4.720000000000002,-5.93999999999999,-3.520000000000001,resolved negative
RMPC - PPO,-5.380000000000007,-7.906833333333337,-2.219500000000004,resolved negative
PPO - Greedy,8.300000000000008,5.220000000000002,10.859999999999992,resolved positive
PPO - PN,11.50000000000001,8.320000000000006,14.093333333333335,resolved positive
PPO - Lead,0.660000000000005,-2.4399999999999977,3.066666666666662,unresolved
PPO-Kalman - PPO,-3.99333333333333,-9.807000000000004,1.7000000000000015,unresolved
