family,n_roots,per_root_rates,family_mean_success_rate,root_sd,hierarchical_ci_low,hierarchical_ci_high
Greedy,1,[0.7912],0.7912,0.0,0.7797125070105357,0.8022403833766631
PN,1,[0.7592],0.7592,0.0,0.7471524968198194,0.770849526491863
Lead,1,[0.8676],0.8676,0.0,0.8579228075281451,0.8767127780018491
RMPC,1,[0.8204],0.8204,0.0,0.8095155765937146,0.8307924799998928
PPO,3,"[0.8886, 0.893, 0.841]",0.8742000000000001,0.028836088500349705,0.8432,0.8962
PPO-Kalman,3,"[0.8484, 0.7936, 0.8608]",0.8342666666666666,0.03575994034297786,0.7952,0.8623333333333333
LR-PPO,3,"[0.8958, 0.8938, 0.8934]",0.8943333333333333,0.0012858201014657527,0.8867333333333334,0.9017333333333334
