family,n_roots,per_root_rates,family_mean_success_rate,root_sd,hierarchical_ci_low,hierarchical_ci_high
Greedy,1,[0.787],0.787,0.0,0.7605503974702781,0.8112530431590133
PN,1,[0.763],0.763,0.0,0.7356684892970144,0.7883186357395835
Lead,1,[0.877],0.877,0.0,0.8551887673529645,0.8959258567489271
RMPC,1,[0.809],0.809,0.0,0.7834719955714221,0.832163067684505
PPO,3,"[0.851, 0.874, 0.82]",0.8483333333333333,0.0270985854489369,0.816,0.878
PPO-Kalman,3,"[0.846, 0.806, 0.828]",0.8266666666666667,0.020033305601755584,0.8,0.853
LR-PPO,3,"[0.887, 0.894, 0.907]",0.896,0.010148891565092228,0.877,0.914
