family,n_roots,per_root_rates,family_mean_success_rate,root_sd,hierarchical_ci_low,hierarchical_ci_high
Greedy,1,[0.612],0.612,0.0,0.5814239245764211,0.6417188815228144
PN,1,[0.589],0.589,0.0,0.5582210567913957,0.6190977801981754
Lead,1,[0.656],0.656,0.0,0.6260105435553518,0.684795507797155
RMPC,1,[0.672],0.672,0.0,0.6422916335335495,0.7003919615474198
PPO,3,"[0.51, 0.525, 0.648]",0.561,0.07571657678474378,0.498,0.642
PPO-Kalman,3,"[0.607, 0.591, 0.572]",0.59,0.017521415467935248,0.56,0.6186666666666667
LR-PPO,3,"[0.699, 0.685, 0.645]",0.6763333333333333,0.02802379940931158,0.6386666666666667,0.7103333333333334
