family,n_roots,per_root_rates,family_mean_success_rate,root_sd,hierarchical_ci_low,hierarchical_ci_high
Greedy,1,[0.704],0.704,0.0,0.6749696568758727,0.7314690256620207
PN,1,[0.641],0.641,0.0,0.6107804510612619,0.6701404030458117
Lead,1,[0.73],0.73,0.0,0.7016420587131036,0.756597632383541
RMPC,1,[0.527],0.527,0.0,0.4960112345098614,0.5577821205319188
PPO,3,"[0.849, 0.854, 0.804]",0.8356666666666666,0.02753785273643047,0.8023250000000001,0.865
PPO-Kalman,3,"[0.832, 0.788, 0.824]",0.8146666666666667,0.023437861108329218,0.784,0.8426666666666667
LR-PPO,3,"[0.802, 0.745, 0.788]",0.7783333333333333,0.029704096238285637,0.743,0.811
