family,n_roots,per_root_rates,family_mean_success_rate,root_sd,hierarchical_ci_low,hierarchical_ci_high
Greedy,1,[0.581],0.581,0.0,0.5501666261541897,0.6112134389711504
PN,1,[0.556],0.556,0.0,0.5250491625099077,0.5865222405397102
Lead,1,[0.652],0.652,0.0,0.6219460655735375,0.6808905998468539
RMPC,1,[0.589],0.589,0.0,0.5582210567913957,0.6190977801981754
PPO,3,"[0.618, 0.634, 0.534]",0.5953333333333334,0.05371529887595648,0.535,0.6473333333333333
PPO-Kalman,3,"[0.56, 0.551, 0.586]",0.5656666666666667,0.01817507450695407,0.533,0.598
LR-PPO,3,"[0.666, 0.652, 0.662]",0.66,0.007211102550927985,0.631,0.6883333333333334
